Szczecin	0.0	0.0	0.0	0.0	0	0	3
Poetry	0.0	0.0	0.0	0.0	0	0	4
Engkantao	0.0	0.0	0.0	0.0	0	0	2
phenomenologist	0.5	0.940308231639	1.0	0.917652010199	1	2	2
localized	0.0	0.0	0.0	0.0	0	0	1
Western	0.0	0.0	0.0	0.0	0	0	10
Retreat	0.0	0.0	0.0	0.0	0	0	1
Euro	0.0	0.0	0.0	0.0	0	0	2
afikoman	0.0	0.0	0.0	0.0	0	0	3
stipulate	0.0	0.0	0.0	0.0	0	0	1
pigment	0.0	0.0	0.0	0.0	0	0	9
cleisthene	0.0	0.0	0.0	0.0	0	0	1
wooded	0.0	0.0	0.0	0.0	0	0	1
wooden	0.0	0.0	0.0	0.0	0	0	4
Larsen	0.0	0.0	0.0	0.0	0	0	3
crotch	0.0	0.0	0.0	0.0	0	0	1
ultra-violet	0.0	0.0	0.0	0.0	0	0	1
non-violent	0.0	0.0	0.0	0.0	0	0	1
Colonialism	0.0	0.0	0.0	0.0	0	0	1
inevitably	0.0	0.0	0.0	0.0	0	0	3
Kibbutzim	0.0	0.0	0.0	0.0	0	0	1
ex-Cabinet	0.0	0.0	0.0	0.0	0	0	1
scraper	0.0	0.0	0.0	0.0	0	0	1
feasibility	0.0	0.0	0.0	0.0	0	0	1
274	0.0	0.0	0.0	0.0	0	0	1
275	0.0	0.0	0.0	0.0	0	0	1
inanimate	0.0	0.0	0.0	0.0	0	0	1
Ghibelline	0.0	0.0	0.0	0.0	0	0	1
cooking	0.0	0.0	0.0	0.0	0	0	6
Hamilton	0.0	0.0	0.0	0.0	0	0	5
0-09-944068-7	0.0	0.0	0.0	0.0	0	0	1
succumb	0.0	0.0	0.0	0.0	0	0	1
Croat	0.0	0.0	0.0	0.0	0	0	3
china	0.0	0.0	0.0	0.0	0	0	1
Limousin	0.0	0.0	0.0	0.0	0	0	1
affiliated	0.0	0.0	0.0	0.0	0	0	1
Octopus	0.0	0.0	0.0	0.0	0	0	1
low-vt	0.0	0.0	0.0	0.0	0	0	1
phenelzine	0.0	0.0	0.0	0.0	0	0	2
per-credit	0.0	0.0	0.0	0.0	0	0	1
controversy	0.190476190476	0.996662002293	0.380952380952	0.766467300656	4	8	21
Isley	0.0	0.0	0.0	0.0	0	0	2
internationally-minded	0.0	0.0	0.0	0.0	0	0	1
Isles	0.0	0.0	0.0	0.0	0	0	1
appropriately	0.0	0.0	0.0	0.0	0	0	2
topography	0.0	0.0	0.0	0.0	0	0	1
projection	0.0	0.0	0.0	0.0	0	0	3
Harvey	0.0	0.0	0.0	0.0	0	0	3
lengthen	0.0	0.0	0.0	0.0	0	0	3
Geus	0.0	0.0	0.0	0.0	0	0	1
Girlsplayboys	0.0	0.0	0.0	0.0	0	0	1
dna	0.0	0.0	0.0	0.0	0	0	9
USATODAY.com	0.0	0.0	0.0	0.0	0	0	1
gradutate	0.0	0.0	0.0	0.0	0	0	1
Vernor	0.0	0.0	0.0	0.0	0	0	1
Vernon	0.0	0.0	0.0	0.0	0	0	1
music	0.040404040404	0.647203328969	0.414141414141	0.995464943022	4	41	99
therefore	0.0	0.0	0.0	0.0	0	0	44
dnr	0.0	0.0	0.0	0.0	0	0	1
Pedophilia	0.0	0.0	0.0	0.0	0	0	1
meteorologist	0.0	0.0	0.0	0.0	0	0	3
5.13	0.0	0.0	0.0	0.0	0	0	1
expeditionary	0.0	0.0	0.0	0.0	0	0	1
intake	0.0	0.0	0.0	0.0	0	0	1
morally	1.0	0.969694916785	1.0	0.713036605469	1	1	1
Indigo	0.0	0.0	0.0	0.0	0	0	1
heathland	0.0	0.0	0.0	0.0	0	0	1
Colombia	0.0	0.0	0.0	0.0	0	0	8
LASO	0.0	0.0	0.0	0.0	0	0	2
Le	0.0	0.0	0.0	0.0	0	0	20
La	0.0	0.0	0.0	0.0	0	0	16
Lo	0.0	0.0	0.0	0.0	0	0	5
titanium	0.0	0.0	0.0	0.0	0	0	1
want	0.0	0.0	0.0	0.0	0	0	33
Yautja	0.0	0.0	0.0	0.0	0	0	2
pinto	0.0	0.0	0.0	0.0	0	0	1
absolute	0.0	0.0	0.0	0.0	0	0	7
travel	0.0	0.0	0.0	0.0	0	0	30
LJ	0.0	0.0	0.0	0.0	0	0	1
45.2	0.0	0.0	0.0	0.0	0	0	1
Falcon	0.0	0.0	0.0	0.0	0	0	1
L'	0.0	0.0	0.0	0.0	0	0	1
over-sized	0.0	0.0	0.0	0.0	0	0	1
uselessness	0.0	0.0	0.0	0.0	0	0	1
L.	0.0	0.0	0.0	0.0	0	0	11
Gusti	0.0	0.0	0.0	0.0	0	0	1
Hannell	0.0	0.0	0.0	0.0	0	0	2
wrong	0.0	0.0	0.0	0.0	0	0	5
emphysematous	0.0	0.0	0.0	0.0	0	0	1
eugenics	0.0	0.0	0.0	0.0	0	0	2
CFO	0.0	0.0	0.0	0.0	0	0	1
prognosticator	0.0	0.0	0.0	0.0	0	0	1
CFI	0.0	0.0	0.0	0.0	0	0	1
Ackman	0.0	0.0	0.0	0.0	0	0	1
18th	0.0	0.0	0.0	0.0	0	0	7
Shimon	0.0	0.0	0.0	0.0	0	0	1
CFS	0.0	0.0	0.0	0.0	0	0	2
CFQ	0.0	0.0	0.0	0.0	0	0	1
Sánchez	0.0	0.0	0.0	0.0	0	0	2
Robertson	0.0	0.0	0.0	0.0	0	0	1
wherein	0.0	0.0	0.0	0.0	0	0	2
playhouse	0.0	0.0	0.0	0.0	0	0	1
Abbott	1.0	0.969694916785	1.0	0.713036605469	1	1	1
ligand	0.0	0.0	0.0	0.0	0	0	1
fit	0.0769230769231	0.670280441651	0.307692307692	0.461933349026	1	4	13
lifeline	0.0	0.0	0.0	0.0	0	0	1
fix	0.0	0.0	0.0	0.0	0	0	8
Smiths	0.0	0.0	0.0	0.0	0	0	1
fic	0.0	0.0	0.0	0.0	0	0	1
Löwinger	0.0	0.0	0.0	0.0	0	0	4
degredation	0.0	0.0	0.0	0.0	0	0	1
fil	0.0	0.0	0.0	0.0	0	0	1
paper.harrison	0.0	0.0	0.0	0.0	0	0	1
corridor	0.0	0.0	0.0	0.0	0	0	2
hypoxic	0.0	0.0	0.0	0.0	0	0	1
sixteen	0.0	0.0	0.0	0.0	0	0	1
1,340	0.0	0.0	0.0	0.0	0	0	1
nunciature	0.0	0.0	0.0	0.0	0	0	1
disconnection	0.0	0.0	0.0	0.0	0	0	2
self-titled	0.0	0.0	0.0	0.0	0	0	1
burial	0.0	0.0	0.0	0.0	0	0	2
telescope	0.0	0.0	0.0	0.0	0	0	2
393	0.0	0.0	0.0	0.0	0	0	1
396	0.0	0.0	0.0	0.0	0	0	1
395	0.0	0.0	0.0	0.0	0	0	2
394	0.0	0.0	0.0	0.0	0	0	1
allay	0.0	0.0	0.0	0.0	0	0	1
Pomerania	0.0	0.0	0.0	0.0	0	0	1
work.sanchez	0.0	0.0	0.0	0.0	0	0	1
gradation	0.0	0.0	0.0	0.0	0	0	1
encourage	0.0	0.0	0.0	0.0	0	0	19
adapt	0.0	0.0	0.0	0.0	0	0	5
Indo-Fijians	1.0	0.969694916785	1.0	0.713036605469	1	1	1
Boora	0.0	0.0	0.0	0.0	0	0	1
estimate	0.0	0.0	0.0	0.0	0	0	19
gameplay	0.142857142857	0.806205641936	0.285714285714	0.357704194688	1	2	7
universally	0.375	0.998610151885	0.375	0.584974791665	3	3	8
chlorine	0.0	0.0	0.0	0.0	0	0	3
Nigel	0.0	0.0	0.0	0.0	0	0	3
absolved	0.0	0.0	0.0	0.0	0	0	1
Poulton-le-Fylde	0.0	0.0	0.0	0.0	0	0	1
Moonee	0.0	0.0	0.0	0.0	0	0	1
periodization	0.0	0.0	0.0	0.0	0	0	1
Niger	0.0	0.0	0.0	0.0	0	0	2
Introit	0.0	0.0	0.0	0.0	0	0	1
kidnap-for-ransom	1.0	0.969694916785	1.0	0.713036605469	1	1	1
service	0.0277777777778	0.354513628028	0.291666666667	0.490679021782	2	21	72
master	0.0384615384615	0.449275870459	0.307692307692	0.519232352518	1	8	26
1902-1904	0.0	0.0	0.0	0.0	0	0	1
lattisaw	0.0	0.0	0.0	0.0	0	0	1
genesis	0.0	0.0	0.0	0.0	0	0	1
Oracle	0.0	0.0	0.0	0.0	0	0	2
positively	0.0	0.0	0.0	0.0	0	0	2
Colleges	0.0	0.0	0.0	0.0	0	0	4
maglev	0.0	0.0	0.0	0.0	0	0	2
SPAD	0.0	0.0	0.0	0.0	0	0	1
feeling	0.0	0.0	0.0	0.0	0	0	10
old.	0.0	0.0	0.0	0.0	0	0	1
Chicago	0.0	0.0	0.0	0.0	0	0	2
e-man	0.0	0.0	0.0	0.0	0	0	2
spectrum	0.0	0.0	0.0	0.0	0	0	5
dozen	0.25	0.977230545406	0.375	0.584974791665	2	3	8
foundational	1.0	0.969694916785	1.0	0.713036605469	1	1	1
Fontaine	0.0	0.0	0.0	0.0	0	0	1
Thee	0.0	0.0	0.0	0.0	0	0	1
net.banks	0.0	0.0	0.0	0.0	0	0	1
toothed	0.0	0.0	0.0	0.0	0	0	1
